rating,genre,theater_date,dvd_date,runtime,year
R,Action and Adventure|Classics|Drama,"Oct 9, 1971","Sep 25, 2001",104 minutes,1971
R,Drama|Science Fiction and Fantasy,"Aug 17, 2012","Jan 1, 2013",108 minutes,2012
R,Drama|Musical and Performing Arts,"Sep 13, 1996","Apr 18, 2000",116 minutes,1996
R,Drama|Mystery and Suspense,"Dec 9, 1994","Aug 27, 1997",128 minutes,1994
PG,Drama|Kids and Family,"Mar 3, 2000","Jul 11, 2000",95 minutes,2000
PG-13,Comedy,"Jan 11, 2002","Jun 18, 2002",82 minutes,2002
R,Drama,"Apr 27, 2006","Oct 2, 2007",123 minutes,2006
R,Drama,"Jun 30, 2010","Nov 9, 2010",117 minutes,2010
PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,"Jun 9, 1995","Jul 27, 1999",108 minutes,1995
NR,Documentary|Special Interest,"Aug 23, 2002","Sep 30, 2003",90 minutes,2002
PG-13,Classics|Comedy|Drama,"Dec 22, 1968","May 20, 2008",97 minutes,1968
R,Comedy,"Jan 31, 1997","Sep 20, 1999",106 minutes,1997
R,Comedy|Drama|Mystery and Suspense,"Dec 17, 2010","Apr 5, 2011",108 minutes,2010
R,Drama,"Dec 20, 2013","Mar 18, 2014",129 minutes,2013
PG,Action and Adventure|Comedy|Drama,"Nov 6, 1987","Mar 8, 2005",98 minutes,1987
PG-13,Action and Adventure|Drama|Science Fiction and Fantasy,"Dec 25, 2013","Apr 1, 2014",127 minutes,2013
R,Art House and International|Comedy|Drama|Musical and Performing Arts,"May 14, 2004","Sep 21, 2004",96 minutes,2004
G,Classics|Comedy|Musical and Performing Arts|Romance,"Jun 15, 1966","Jan 7, 2003",90 minutes,1966
PG,Action and Adventure|Drama|Science Fiction and Fantasy,"Apr 1, 1981","May 10, 2011",101 minutes,1981
R,Action and Adventure|Drama|Mystery and Suspense,"Nov 1, 1996","Aug 22, 2000",114 minutes,1996
PG-13,Action and Adventure|Mystery and Suspense,"Dec 31, 2000","Nov 7, 2000",123 minutes,2000
R,Drama,"Jul 30, 1999","Jan 18, 2000",110 minutes,1999
R,Art House and International|Classics|Horror|Mystery and Suspense,"Dec 23, 1970","Aug 7, 2001",96 minutes,1970
R,Horror,"Apr 20, 2007","Oct 30, 2007",97 minutes,2007
R,Drama,"Sep 19, 2003","Apr 13, 2004",95 minutes,2003
R,Drama,"May 16, 2003","Oct 7, 2003",106 minutes,2003
R,Comedy,"Mar 11, 2003","Jan 25, 2005",82 minutes,2003
R,Comedy|Musical and Performing Arts,"Aug 13, 1997","Nov 2, 1999",91 minutes,1997
NR,Mystery and Suspense,"Oct 26, 1967","Aug 5, 2003",108 minutes,1967
PG,Comedy|Drama|Romance,"Apr 21, 1995","Feb 3, 1998",103 minutes,1995
NR,Comedy|Drama,"Nov 15, 2013","Mar 25, 2014",142 minutes,2013
R,Drama,"Oct 6, 1995","May 19, 1998",119 minutes,1995
R,Comedy,"Nov 21, 2012","Apr 30, 2013",122 minutes,2012
PG,Comedy|Romance,"Jan 27, 1984","Nov 6, 2001",86 minutes,1984
R,Horror,"Jan 1, 1987","Nov 27, 2001",95 minutes,1987
R,Action and Adventure|Drama|Horror|Mystery and Suspense,"Feb 10, 2006","Jul 25, 2006",93 minutes,2006
R,Action and Adventure|Drama|Mystery and Suspense,"Mar 26, 1997","Feb 24, 1998",111 minutes,1997
PG-13,Comedy,"Aug 21, 1998","Dec 22, 1998",86 minutes,1998
PG,Comedy|Kids and Family|Romance,"Nov 21, 2007","Mar 18, 2008",108 minutes,2007
R,Mystery and Suspense,"Mar 8, 2013","Jul 9, 2013",118 minutes,2013
R,Horror,"Jan 17, 2014","Apr 29, 2014",89 minutes,2014
NR,Classics|Drama,"Sep 21, 1940","Jul 18, 2006",106 minutes,1940
PG,Action and Adventure,"Jun 12, 1981","Oct 21, 2003",115 minutes,1981
PG,Comedy,"May 14, 1986","Nov 23, 2004",107 minutes,1986
R,Action and Adventure|Classics|Drama,"Apr 6, 1965","May 22, 2001",165 minutes,1965
R,Action and Adventure|Mystery and Suspense,"Feb 25, 2011","May 31, 2011",107 minutes,2011
PG-13,Comedy|Drama,"Jul 1, 2011","Nov 15, 2011",99 minutes,2011
R,Action and Adventure|Drama|Mystery and Suspense,"May 19, 1995","Mar 16, 1999",98 minutes,1995
NR,Action and Adventure|Art House and International|Drama,"Dec 3, 1987","Oct 24, 2000",110 minutes,1987
R,Comedy|Mystery and Suspense|Science Fiction and Fantasy|Romance,"Jan 19, 2001","Mar 19, 2002",113 minutes,2001
PG,Art House and International|Drama|Musical and Performing Arts,"Aug 20, 2010","May 3, 2011",117 minutes,2010
R,Comedy|Romance,"Jul 24, 1998","Dec 22, 1998",92 minutes,1998
NR,Art House and International|Classics|Horror,"Jan 1, 1966","Nov 2, 1999",90 minutes,1966
R,Classics|Comedy|Drama|Romance,"Nov 3, 1939","Sep 5, 2005",110 minutes,1939
R,Art House and International|Drama|Mystery and Suspense|Television,"Jun 23, 2001","Jul 16, 2002",90 minutes,2001
R,Drama|Sports and Fitness,"Nov 18, 2016","Feb 14, 2017",116 minutes,2016
PG-13,Comedy|Romance,"Dec 20, 2002","Apr 29, 2003",102 minutes,2002
R,Comedy|Drama|Television,"Jul 11, 1992","Apr 21, 1993",90 minutes,1992
R,Comedy,"Jun 6, 2006","Apr 22, 2008",95 minutes,2006
R,Comedy|Drama|Kids and Family,"Apr 16, 2010","Aug 10, 2010",93 minutes,2010
PG,Classics|Comedy|Drama|Kids and Family|Science Fiction and Fantasy,"Dec 25, 1946","Sep 19, 1995",135 minutes,1946
R,Drama|Mystery and Suspense,"Nov 29, 2001","Mar 5, 2002",101 minutes,2001
G,Animation|Comedy|Kids and Family|Science Fiction and Fantasy,"Nov 24, 1999","Oct 17, 2000",92 minutes,1999
R,Art House and International|Comedy|Drama,"Sep 10, 1989","Oct 24, 2006",97 minutes,1989
PG,Comedy|Science Fiction and Fantasy,"Dec 25, 1999","May 2, 2000",102 minutes,1999
R,Action and Adventure|Drama|Mystery and Suspense,"Aug 7, 1998","Feb 16, 1999",107 minutes,1998
PG-13,Comedy|Romance,"Jul 30, 1993","Jun 1, 1999",93 minutes,1993
NR,Classics|Comedy|Special Interest,"Mar 31, 1968","Jun 5, 2007",99 minutes,1968
PG-13,Action and Adventure|Science Fiction and Fantasy,"Jul 12, 2002","Nov 19, 2002",101 minutes,2002
NR,Action and Adventure|Art House and International|Comedy,"Aug 17, 1984","Aug 14, 2001",98 minutes,1984
R,Drama|Horror|Mystery and Suspense,"Nov 2, 1990","Sep 14, 2010",113 minutes,1990
NR,Art House and International|Comedy|Drama,"Jan 9, 2008","Dec 30, 2008",128 minutes,2008
R,Action and Adventure|Animation|Drama|Science Fiction and Fantasy|Special Interest,"Apr 4, 2003","Jun 24, 2003",114 minutes,2003
R,Drama|Horror|Mystery and Suspense,"Jan 1, 1973","Sep 27, 2005",98 minutes,1973
R,Action and Adventure|Animation|Art House and International|Drama|Science Fiction and Fantasy,"Jan 1, 2001","Dec 16, 2003",106 minutes,2001
R,Horror|Mystery and Suspense,"Oct 1, 2010","Jan 4, 2011",109 minutes,2010
PG-13,Drama|Romance,"Mar 1, 1996","Sep 7, 1999",124 minutes,1996
PG,Drama,"Sep 13, 1978","Mar 30, 1999",93 minutes,1978
NR,Classics|Comedy|Romance,"Oct 21, 1937","Mar 11, 2003",90 minutes,1937
R,Comedy,"Apr 18, 1997","Oct 8, 2002",95 minutes,1997
PG-13,Action and Adventure|Art House and International|Drama|Mystery and Suspense,"Feb 14, 1990","Sep 11, 1991",100 minutes,1990
PG,Comedy,"Dec 21, 1984","Jun 1, 2004",96 minutes,1984
NR,Action and Adventure|Art House and International|Comedy,"Jan 28, 1986","Nov 17, 1998",104 minutes,1986
NR,Classics|Drama|Mystery and Suspense|Science Fiction and Fantasy|Romance,"Oct 15, 1951","May 23, 2000",123 minutes,1951
R,Action and Adventure|Drama|Horror|Mystery and Suspense,"Aug 24, 2010","Aug 24, 2010",104 minutes,2010
R,Comedy|Romance,"Mar 10, 1995","May 18, 1999",105 minutes,1995
