rating,genre,theater_date,dvd_date,runtime
R,Action,"Oct 9, 1971","Sep 25, 2001",104 minutes
R,Adventure,"Oct 9, 1971","Sep 25, 2001",104 minutes
R,Classics,"Oct 9, 1971","Sep 25, 2001",104 minutes
R,Drama,"Oct 9, 1971","Sep 25, 2001",104 minutes
R,Drama,"Aug 17, 2012","Jan 1, 2013",108 minutes
R,Science Fiction,"Aug 17, 2012","Jan 1, 2013",108 minutes
R,Fantasy,"Aug 17, 2012","Jan 1, 2013",108 minutes
R,Drama,"Sep 13, 1996","Apr 18, 2000",116 minutes
R,Musical,"Sep 13, 1996","Apr 18, 2000",116 minutes
R,Performing Arts,"Sep 13, 1996","Apr 18, 2000",116 minutes
R,Drama,"Dec 9, 1994","Aug 27, 1997",128 minutes
R,Mystery,"Dec 9, 1994","Aug 27, 1997",128 minutes
R,Suspense,"Dec 9, 1994","Aug 27, 1997",128 minutes
PG,Drama,"Mar 3, 2000","Jul 11, 2000",95 minutes
PG,Kids,"Mar 3, 2000","Jul 11, 2000",95 minutes
PG,Family,"Mar 3, 2000","Jul 11, 2000",95 minutes
PG-13,Comedy,"Jan 11, 2002","Jun 18, 2002",82 minutes
R,Drama,"Apr 27, 2006","Oct 2, 2007",123 minutes
R,Drama,"Jun 30, 2010","Nov 9, 2010",117 minutes
PG-13,Action,"Jun 9, 1995","Jul 27, 1999",108 minutes
PG-13,Adventure,"Jun 9, 1995","Jul 27, 1999",108 minutes
PG-13,Mystery,"Jun 9, 1995","Jul 27, 1999",108 minutes
PG-13,Suspense,"Jun 9, 1995","Jul 27, 1999",108 minutes
PG-13,Science Fiction,"Jun 9, 1995","Jul 27, 1999",108 minutes
PG-13,Fantasy,"Jun 9, 1995","Jul 27, 1999",108 minutes
NR,Documentary,"Aug 23, 2002","Sep 30, 2003",90 minutes
NR,Special Interest,"Aug 23, 2002","Sep 30, 2003",90 minutes
PG-13,Classics,"Dec 22, 1968","May 20, 2008",97 minutes
PG-13,Comedy,"Dec 22, 1968","May 20, 2008",97 minutes
PG-13,Drama,"Dec 22, 1968","May 20, 2008",97 minutes
R,Comedy,"Jan 31, 1997","Sep 20, 1999",106 minutes
R,Comedy,"Dec 17, 2010","Apr 5, 2011",108 minutes
R,Drama,"Dec 17, 2010","Apr 5, 2011",108 minutes
R,Mystery,"Dec 17, 2010","Apr 5, 2011",108 minutes
R,Suspense,"Dec 17, 2010","Apr 5, 2011",108 minutes
R,Drama,"Dec 20, 2013","Mar 18, 2014",129 minutes
PG,Action,"Nov 6, 1987","Mar 8, 2005",98 minutes
PG,Adventure,"Nov 6, 1987","Mar 8, 2005",98 minutes
PG,Comedy,"Nov 6, 1987","Mar 8, 2005",98 minutes
PG,Drama,"Nov 6, 1987","Mar 8, 2005",98 minutes
PG-13,Action,"Dec 25, 2013","Apr 1, 2014",127 minutes
PG-13,Adventure,"Dec 25, 2013","Apr 1, 2014",127 minutes
PG-13,Drama,"Dec 25, 2013","Apr 1, 2014",127 minutes
PG-13,Science Fiction,"Dec 25, 2013","Apr 1, 2014",127 minutes
PG-13,Fantasy,"Dec 25, 2013","Apr 1, 2014",127 minutes
R,Art House,"May 14, 2004","Sep 21, 2004",96 minutes
R,International,"May 14, 2004","Sep 21, 2004",96 minutes
R,Comedy,"May 14, 2004","Sep 21, 2004",96 minutes
R,Drama,"May 14, 2004","Sep 21, 2004",96 minutes
R,Musical,"May 14, 2004","Sep 21, 2004",96 minutes
R,Performing Arts,"May 14, 2004","Sep 21, 2004",96 minutes
G,Classics,"Jun 15, 1966","Jan 7, 2003",90 minutes
G,Comedy,"Jun 15, 1966","Jan 7, 2003",90 minutes
G,Musical,"Jun 15, 1966","Jan 7, 2003",90 minutes
G,Performing Arts,"Jun 15, 1966","Jan 7, 2003",90 minutes
G,Romance,"Jun 15, 1966","Jan 7, 2003",90 minutes
PG,Action,"Apr 1, 1981","May 10, 2011",101 minutes
PG,Adventure,"Apr 1, 1981","May 10, 2011",101 minutes
PG,Drama,"Apr 1, 1981","May 10, 2011",101 minutes
PG,Science Fiction,"Apr 1, 1981","May 10, 2011",101 minutes
PG,Fantasy,"Apr 1, 1981","May 10, 2011",101 minutes
R,Action,"Nov 1, 1996","Aug 22, 2000",114 minutes
R,Adventure,"Nov 1, 1996","Aug 22, 2000",114 minutes
R,Drama,"Nov 1, 1996","Aug 22, 2000",114 minutes
R,Mystery,"Nov 1, 1996","Aug 22, 2000",114 minutes
R,Suspense,"Nov 1, 1996","Aug 22, 2000",114 minutes
PG-13,Action,"Dec 31, 2000","Nov 7, 2000",123 minutes
PG-13,Adventure,"Dec 31, 2000","Nov 7, 2000",123 minutes
PG-13,Mystery,"Dec 31, 2000","Nov 7, 2000",123 minutes
PG-13,Suspense,"Dec 31, 2000","Nov 7, 2000",123 minutes
R,Drama,"Jul 30, 1999","Jan 18, 2000",110 minutes
R,Art House,"Dec 23, 1970","Aug 7, 2001",96 minutes
R,International,"Dec 23, 1970","Aug 7, 2001",96 minutes
R,Classics,"Dec 23, 1970","Aug 7, 2001",96 minutes
R,Horror,"Dec 23, 1970","Aug 7, 2001",96 minutes
R,Mystery,"Dec 23, 1970","Aug 7, 2001",96 minutes
R,Suspense,"Dec 23, 1970","Aug 7, 2001",96 minutes
R,Horror,"Apr 20, 2007","Oct 30, 2007",97 minutes
R,Drama,"Sep 19, 2003","Apr 13, 2004",95 minutes
R,Drama,"May 16, 2003","Oct 7, 2003",106 minutes
R,Comedy,"Mar 11, 2003","Jan 25, 2005",82 minutes
R,Comedy,"Aug 13, 1997","Nov 2, 1999",91 minutes
R,Musical,"Aug 13, 1997","Nov 2, 1999",91 minutes
R,Performing Arts,"Aug 13, 1997","Nov 2, 1999",91 minutes
NR,Mystery,"Oct 26, 1967","Aug 5, 2003",108 minutes
